"","CONDITION","AGERANGE","SYNDROME","k"
"246","Norovirus","12-23mo","00Asymptomatic",26
"247","Norovirus","12-23mo","01CommunityDetected",9
"248","Norovirus","12-23mo","02Outpatient",23
"249","Norovirus","12-23mo","03Inpatient",49
"250","Norovirus","12-23mo","04Unspecified",3
"251","Norovirus","24-59mo","00Asymptomatic",26
"252","Norovirus","24-59mo","01CommunityDetected",1
"253","Norovirus","24-59mo","02Outpatient",25
"254","Norovirus","24-59mo","03Inpatient",49
"255","Norovirus","24-59mo","04Unspecified",3
"256","Norovirus","99MixedAges","00Asymptomatic",9
"257","Norovirus","99MixedAges","01CommunityDetected",3
"258","Norovirus","99MixedAges","02Outpatient",39
"259","Norovirus","99MixedAges","03Inpatient",29
"260","Norovirus","99MixedAges","04Unspecified",5
"261","Rotavirus","0-11mo","00Asymptomatic",28
"262","Rotavirus","0-11mo","01CommunityDetected",11
"263","Rotavirus","0-11mo","02Outpatient",27
"264","Rotavirus","0-11mo","03Inpatient",56
"265","Rotavirus","0-11mo","04Unspecified",6
"266","Rotavirus","12-23mo","00Asymptomatic",26
"267","Rotavirus","12-23mo","01CommunityDetected",9
"268","Rotavirus","12-23mo","02Outpatient",22
"269","Rotavirus","12-23mo","03Inpatient",53
"270","Rotavirus","12-23mo","04Unspecified",4
"271","Rotavirus","24-59mo","00Asymptomatic",26
"272","Rotavirus","24-59mo","01CommunityDetected",1
"273","Rotavirus","24-59mo","02Outpatient",25
"274","Rotavirus","24-59mo","03Inpatient",55
"275","Rotavirus","24-59mo","04Unspecified",4
"276","Rotavirus","99MixedAges","00Asymptomatic",15
"277","Rotavirus","99MixedAges","01CommunityDetected",5
"278","Rotavirus","99MixedAges","02Outpatient",44
"279","Rotavirus","99MixedAges","03Inpatient",39
"280","Rotavirus","99MixedAges","04Unspecified",6
"281","Salmonella","0-11mo","00Asymptomatic",29
"282","Salmonella","0-11mo","01CommunityDetected",10
"283","Salmonella","0-11mo","02Outpatient",23
"284","Salmonella","0-11mo","03Inpatient",49
"285","Salmonella","0-11mo","04Unspecified",5
"286","Salmonella","12-23mo","00Asymptomatic",26
"287","Salmonella","12-23mo","01CommunityDetected",9
"288","Salmonella","12-23mo","02Outpatient",18
"289","Salmonella","12-23mo","03Inpatient",48
"290","Salmonella","12-23mo","04Unspecified",3
"291","Salmonella","24-59mo","00Asymptomatic",26
"292","Salmonella","24-59mo","01CommunityDetected",1
"293","Salmonella","24-59mo","02Outpatient",20
"294","Salmonella","24-59mo","03Inpatient",48
"295","Salmonella","24-59mo","04Unspecified",3
"296","Salmonella","99MixedAges","00Asymptomatic",15
"297","Salmonella","99MixedAges","01CommunityDetected",5
"298","Salmonella","99MixedAges","02Outpatient",32
"299","Salmonella","99MixedAges","03Inpatient",21
"300","Salmonella","99MixedAges","04Unspecified",7
"301","Sapovirus","0-11mo","00Asymptomatic",24
"302","Sapovirus","0-11mo","01CommunityDetected",9
"303","Sapovirus","0-11mo","02Outpatient",21
"304","Sapovirus","0-11mo","03Inpatient",45
"305","Sapovirus","0-11mo","04Unspecified",1
"306","Sapovirus","12-23mo","00Asymptomatic",23
"307","Sapovirus","12-23mo","01CommunityDetected",9
"308","Sapovirus","12-23mo","02Outpatient",17
"309","Sapovirus","12-23mo","03Inpatient",43
"310","Sapovirus","12-23mo","04Unspecified",1
"311","Sapovirus","24-59mo","00Asymptomatic",23
"312","Sapovirus","24-59mo","01CommunityDetected",1
"313","Sapovirus","24-59mo","02Outpatient",18
"314","Sapovirus","24-59mo","03Inpatient",44
"315","Sapovirus","24-59mo","04Unspecified",1
"316","Sapovirus","99MixedAges","00Asymptomatic",4
"317","Sapovirus","99MixedAges","01CommunityDetected",2
"318","Sapovirus","99MixedAges","02Outpatient",20
"319","Sapovirus","99MixedAges","03Inpatient",10
"320","Sapovirus","99MixedAges","04Unspecified",3
"321","Shigella","0-11mo","00Asymptomatic",29
"322","Shigella","0-11mo","01CommunityDetected",11
"323","Shigella","0-11mo","02Outpatient",23
"324","Shigella","0-11mo","03Inpatient",49
"325","Shigella","0-11mo","04Unspecified",5
"326","Shigella","12-23mo","00Asymptomatic",26
"327","Shigella","12-23mo","01CommunityDetected",9
"328","Shigella","12-23mo","02Outpatient",18
"329","Shigella","12-23mo","03Inpatient",48
"330","Shigella","12-23mo","04Unspecified",3
"331","Shigella","24-59mo","00Asymptomatic",26
"332","Shigella","24-59mo","01CommunityDetected",1
"333","Shigella","24-59mo","02Outpatient",20
"334","Shigella","24-59mo","03Inpatient",48
"335","Shigella","24-59mo","04Unspecified",3
"336","Shigella","99MixedAges","00Asymptomatic",16
"337","Shigella","99MixedAges","01CommunityDetected",6
"338","Shigella","99MixedAges","02Outpatient",35
"339","Shigella","99MixedAges","03Inpatient",23
"340","Shigella","99MixedAges","04Unspecified",8
"341","STEC","0-11mo","00Asymptomatic",26
"342","STEC","0-11mo","01CommunityDetected",10
"343","STEC","0-11mo","02Outpatient",19
"344","STEC","0-11mo","03Inpatient",43
"345","STEC","0-11mo","04Unspecified",1
"346","STEC","12-23mo","00Asymptomatic",23
"347","STEC","12-23mo","01CommunityDetected",9
"348","STEC","12-23mo","02Outpatient",15
"349","STEC","12-23mo","03Inpatient",43
"350","STEC","12-23mo","04Unspecified",1
"351","STEC","24-59mo","00Asymptomatic",23
"352","STEC","24-59mo","01CommunityDetected",1
"353","STEC","24-59mo","02Outpatient",16
"354","STEC","24-59mo","03Inpatient",39
"355","STEC","24-59mo","04Unspecified",1
"356","STEC","99MixedAges","00Asymptomatic",8
"357","STEC","99MixedAges","01CommunityDetected",1
"358","STEC","99MixedAges","02Outpatient",21
"359","STEC","99MixedAges","03Inpatient",6
"360","STEC","99MixedAges","04Unspecified",2
"361","Vibrio","0-11mo","00Asymptomatic",27
"362","Vibrio","0-11mo","01CommunityDetected",0
"363","Vibrio","0-11mo","02Outpatient",19
"364","Vibrio","0-11mo","03Inpatient",43
"365","Vibrio","0-11mo","04Unspecified",1
"366","Vibrio","12-23mo","00Asymptomatic",24
"367","Vibrio","12-23mo","01CommunityDetected",0
"368","Vibrio","12-23mo","02Outpatient",16
"369","Vibrio","12-23mo","03Inpatient",42
"370","Vibrio","12-23mo","04Unspecified",1
"371","Vibrio","24-59mo","00Asymptomatic",24
"372","Vibrio","24-59mo","01CommunityDetected",0
"373","Vibrio","24-59mo","02Outpatient",16
"374","Vibrio","24-59mo","03Inpatient",43
"375","Vibrio","24-59mo","04Unspecified",1
"376","Vibrio","99MixedAges","00Asymptomatic",3
"377","Vibrio","99MixedAges","01CommunityDetected",0
"378","Vibrio","99MixedAges","02Outpatient",13
"379","Vibrio","99MixedAges","03Inpatient",9
"380","Vibrio","99MixedAges","04Unspecified",1
