"","CONDITION","SYNDROME","AGERANGE","prev_pop3"
"195","Giardia","00Asymptomatic","12-23mo",0.187507015197635
"196","Giardia","00Asymptomatic","24-59mo",0.310913173239674
"197","Giardia","00Asymptomatic","99MixedAges",0.0453055914621578
"198","Giardia","01CommunityDetected","0-11mo",0.0495972259956067
"199","Giardia","01CommunityDetected","12-23mo",0.170890614933997
"200","Giardia","01CommunityDetected","99MixedAges",0.0406600974285096
"201","Giardia","02Outpatient","0-11mo",0.0451710551191522
"202","Giardia","02Outpatient","12-23mo",0.157433007112299
"203","Giardia","02Outpatient","24-59mo",0.267564282619112
"204","Giardia","02Outpatient","99MixedAges",0.0370004460632319
"205","Giardia","03Inpatient","0-11mo",0.0344907558513176
"206","Giardia","03Inpatient","12-23mo",0.123646615633309
"207","Giardia","03Inpatient","24-59mo",0.216207729750297
"208","Giardia","03Inpatient","99MixedAges",0.0281949697482208
"209","Giardia","04Unspecified","0-11mo",0.0291881157330731
"210","Giardia","04Unspecified","12-23mo",0.10614395087679
"211","Giardia","04Unspecified","24-59mo",0.188419745367769
"212","Giardia","04Unspecified","99MixedAges",0.0238363536344677
"213","Norovirus","00Asymptomatic","0-11mo",0.152010999523776
"214","Norovirus","00Asymptomatic","12-23mo",0.145258319113541
"215","Norovirus","00Asymptomatic","24-59mo",0.0988871298801076
"216","Norovirus","00Asymptomatic","99MixedAges",0.111078939765322
"217","Norovirus","01CommunityDetected","0-11mo",0.223039403868487
"218","Norovirus","01CommunityDetected","12-23mo",0.213927470953795
"219","Norovirus","01CommunityDetected","99MixedAges",0.166742262908809
"220","Norovirus","02Outpatient","0-11mo",0.17752922366508
"221","Norovirus","02Outpatient","12-23mo",0.169870044326519
"222","Norovirus","02Outpatient","24-59mo",0.116714844005827
"223","Norovirus","02Outpatient","99MixedAges",0.130785625149189
"224","Norovirus","03Inpatient","0-11mo",0.199650126050274
"225","Norovirus","03Inpatient","12-23mo",0.191258509875095
"226","Norovirus","03Inpatient","24-59mo",0.132478588997369
"227","Norovirus","03Inpatient","99MixedAges",0.148131087743261
"228","Norovirus","04Unspecified","0-11mo",0.194167786621391
"229","Norovirus","04Unspecified","12-23mo",0.185953063595855
"230","Norovirus","04Unspecified","24-59mo",0.128544514230608
"231","Norovirus","04Unspecified","99MixedAges",0.143809250070653
"232","Rotavirus","00Asymptomatic","0-11mo",0.0379584834655622
"233","Rotavirus","00Asymptomatic","12-23mo",0.0324486215231359
"234","Rotavirus","00Asymptomatic","24-59mo",0.0196722137097821
"235","Rotavirus","00Asymptomatic","99MixedAges",0.0245423871743523
"236","Rotavirus","01CommunityDetected","0-11mo",0.099084498129639
"237","Rotavirus","01CommunityDetected","12-23mo",0.0854903551875955
"238","Rotavirus","01CommunityDetected","99MixedAges",0.0655356700969282
"239","Rotavirus","02Outpatient","0-11mo",0.159030590399762
"240","Rotavirus","02Outpatient","12-23mo",0.138476142890105
"241","Rotavirus","02Outpatient","24-59mo",0.0877378543627783
"242","Rotavirus","02Outpatient","99MixedAges",0.107609093038607
"243","Rotavirus","03Inpatient","0-11mo",0.312313167349184
"244","Rotavirus","03Inpatient","12-23mo",0.278508281529658
"245","Rotavirus","03Inpatient","24-59mo",0.187636341066535
"246","Rotavirus","03Inpatient","99MixedAges",0.224563507576033
"247","Rotavirus","04Unspecified","0-11mo",0.250839603870655
"248","Rotavirus","04Unspecified","12-23mo",0.221545012819836
"249","Rotavirus","04Unspecified","24-59mo",0.145510664816484
"250","Rotavirus","04Unspecified","99MixedAges",0.17594297250073
"251","STEC","00Asymptomatic","0-11mo",0.01459657200292
"252","STEC","00Asymptomatic","12-23mo",0.024833794930919
"253","STEC","00Asymptomatic","24-59mo",0.0330450659715869
"254","STEC","00Asymptomatic","99MixedAges",0.0152551357327226
"255","STEC","01CommunityDetected","0-11mo",0.0108460960829451
"256","STEC","01CommunityDetected","12-23mo",0.0185023329951799
"257","STEC","02Outpatient","0-11mo",0.0110394778554994
"258","STEC","02Outpatient","12-23mo",0.0188296239883012
"259","STEC","02Outpatient","24-59mo",0.0251067345950991
"260","STEC","02Outpatient","99MixedAges",0.0115394330569955
"261","STEC","03Inpatient","0-11mo",0.010737605056243
"262","STEC","03Inpatient","12-23mo",0.0183186766689303
"263","STEC","03Inpatient","24-59mo",0.0244296970515854
"264","STEC","03Inpatient","99MixedAges",0.0112240442197654
"265","STEC","04Unspecified","99MixedAges",0.0107524491536658
"266","Salmonella","00Asymptomatic","0-11mo",0.0124034029858479
"267","Salmonella","00Asymptomatic","12-23mo",0.0111435175589392
"268","Salmonella","00Asymptomatic","24-59mo",0.0131377709238402
"269","Salmonella","00Asymptomatic","99MixedAges",0.0153421136473915
"270","Salmonella","01CommunityDetected","0-11mo",0.0137559474267319
"271","Salmonella","01CommunityDetected","12-23mo",0.0123603957027265
"272","Salmonella","01CommunityDetected","99MixedAges",0.0170095941590037
"273","Salmonella","02Outpatient","0-11mo",0.0205476147681405
"274","Salmonella","02Outpatient","12-23mo",0.0184759508914425
"275","Salmonella","02Outpatient","24-59mo",0.0217535556527903
"276","Salmonella","02Outpatient","99MixedAges",0.0253663540074279
"277","Salmonella","03Inpatient","0-11mo",0.0328151695846629
"278","Salmonella","03Inpatient","12-23mo",0.0295439669246123
"279","Salmonella","03Inpatient","24-59mo",0.0347155750820276
"280","Salmonella","03Inpatient","99MixedAges",0.0403922000454375
"281","Salmonella","04Unspecified","0-11mo",0.018689063745631
"282","Salmonella","04Unspecified","12-23mo",0.0168015694167276
"283","Salmonella","04Unspecified","24-59mo",0.0197881298873208
"284","Salmonella","04Unspecified","99MixedAges",0.0230822151628523
"285","Sapovirus","00Asymptomatic","0-11mo",0.0659828952148188
"286","Sapovirus","00Asymptomatic","12-23mo",0.0887199179734356
"287","Sapovirus","00Asymptomatic","24-59mo",0.0590433151198381
"288","Sapovirus","00Asymptomatic","99MixedAges",0.0470301983273792
"289","Sapovirus","01CommunityDetected","0-11mo",0.134628540686785
"290","Sapovirus","01CommunityDetected","12-23mo",0.176548928166024
"291","Sapovirus","01CommunityDetected","99MixedAges",0.0980277185915905
