"","CONDITION","SYNDROME","AGERANGE","prev_pop1","prev_pop2","prev_pop3","prev_pop4"
"138","EPTP","03Inpatient","99MixedAges",0.0744383653672905,0.0900819630998766,0.0896690143887142,0.130251656297123
"139","EPTP","04Unspecified","0-11mo",0.113326870123849,0.13296223952162,0.131960923490087,0.180161301469418
"140","EPTP","04Unspecified","12-23mo",0.107251178636567,0.125918163434719,0.124966412321178,0.170936915256759
"141","EPTP","04Unspecified","24-59mo",0.0808137683279734,0.09540739766956,0.0946606493902587,0.131119513177112
"142","EPTP","04Unspecified","99MixedAges",0.0614491789875788,0.0764874771241666,0.0761470682500019,0.112855300509496
"143","ETLT","00Asymptomatic","0-11mo",0.064174277749122,0.0774809757835295,0.0691965784915894,0.118761492766081
"144","ETLT","00Asymptomatic","12-23mo",0.0903482546839662,0.108350477766765,0.0971639869984848,0.16316939256076
"145","ETLT","00Asymptomatic","24-59mo",0.0785838970056886,0.0944544559611528,0.0845642550253985,0.143280039020264
"146","ETLT","00Asymptomatic","99MixedAges",0.0558762254160786,0.0705979802801693,0.0605158199295991,0.110211496718363
"147","ETLT","01CommunityDetected","0-11mo",0.0830139095455582,0.0999445985134705,0.0891184297852857,0.151052065120508
"148","ETLT","01CommunityDetected","12-23mo",0.115919979168912,0.138421029283231,0.124064503059897,0.204729131414508
"149","ETLT","01CommunityDetected","99MixedAges",0.0724684427693774,0.0912634715921561,0.0781482896137073,0.140548137993463
"150","ETLT","02Outpatient","0-11mo",0.0671183547026814,0.0810151011365537,0.072343905059932,0.124083068135102
"151","ETLT","02Outpatient","12-23mo",0.0943720068669227,0.113119992434664,0.101444741304097,0.170096753371806
"152","ETLT","02Outpatient","24-59mo",0.0821310169631535,0.0986799740438276,0.0883442210936622,0.149513863611662
"153","ETLT","02Outpatient","99MixedAges",0.0584634008978691,0.0738432832739839,0.0632951611622769,0.115200038836505
"154","ETLT","03Inpatient","0-11mo",0.0657940936288554,0.0787168548373883,0.071175649396985,0.120144440948758
"155","ETLT","03Inpatient","12-23mo",0.0925633790954233,0.110020025459383,0.0998571330883274,0.164972652247373
"156","ETLT","03Inpatient","24-59mo",0.0805361238806194,0.0959329203576637,0.0869417982979751,0.144901552960418
"157","ETLT","03Inpatient","99MixedAges",0.0572994154405777,0.071732607338173,0.0622632226674032,0.111507480461842
"158","ETLT","04Unspecified","99MixedAges",0.0847335472599872,0.107389965155989,0.093476716938706,0.170124203487869
"159","ETST","00Asymptomatic","0-11mo",0.0332903287188484,0.038054304713442,0.0339050428699754,0.058241837874612
"160","ETST","00Asymptomatic","12-23mo",0.0515693541602984,0.05874199767577,0.0524790734366766,0.088835863035437
"161","ETST","00Asymptomatic","24-59mo",0.0442408022220734,0.0504463713792381,0.0450168716420104,0.0765515909165707
"162","ETST","00Asymptomatic","99MixedAges",0.0318220227046185,0.0375251400773593,0.0325268457818811,0.0588827007741181
"163","ETST","01CommunityDetected","0-11mo",0.0563520991114337,0.0642887014674003,0.0571912296443814,0.0969459809040947
"164","ETST","01CommunityDetected","12-23mo",0.0861652010730328,0.0977885302094865,0.0873683643222923,0.144746185942273
"165","ETST","01CommunityDetected","99MixedAges",0.0539233664745304,0.063418784656212,0.0549202879617169,0.0979684209565123
"166","ETST","02Outpatient","0-11mo",0.0561497198251405,0.0640122573075275,0.0571405323576098,0.0969590001747129
"167","ETST","02Outpatient","12-23mo",0.0858654954711384,0.0973830272589258,0.0872933932511157,0.144764595450048
"168","ETST","02Outpatient","24-59mo",0.0740435973938436,0.0841181358054214,0.0752740832468697,0.1258143651773
