"","CONDITION","SYNDROME","AGERANGE","RawPrev","MEPrev","PrevPercentageChange","aOR","aOR_CI_lo","aOR_CI_hi","PAF"
"31","Cryptosporidium","02Outpatient","24-59mo",0.0999111401818947,0.0870319426258679,12.8906521660941,0.988760927105127,0.79221035021152,1.2340764933313,0
"32","Cryptosporidium","03Inpatient","24-59mo",0.113955327337214,0.136078877201615,-19.4142304544775,1.54751579756601,1.07252495443829,2.23286659560345,0.0693391950297886
"33","Cyclospora","01CommunityDetected","0-11mo",0.000892128508653932,0.00384155217646797,-330.605247921536,0.764671562535533,0.319102156811004,1.83239939332923,0
"34","Cyclospora","02Outpatient","0-11mo",0.00335422589967869,0.00438340107849297,-30.6829417456013,2.09597553519483,0.710863547277687,6.17996725385491,0.00478113130841635
"35","Cyclospora","03Inpatient","0-11mo",0.00479735318444996,0.00923261049739274,-92.4521739887555,4.03058555034592,1.48277711046131,10.9562116679851,0.0272186327429409
"36","Cyclospora","01CommunityDetected","12-23mo",0.00955991125019071,0.00746017720724318,21.9639491204025,1.72618885434068,0.903007475467277,3.29978216327398,0.00538830640262909
"37","Cyclospora","02Outpatient","12-23mo",0.0064806347660496,0.00850807194511661,-31.2845462251358,1.42352269551035,0.554620049565823,3.653702865988,0.00359042396806752
"38","Cyclospora","03Inpatient","12-23mo",0.00809655803027434,0.0178385110158025,-120.322153550947,3.24331430047242,1.24800962647002,8.42869111627126,0.0384776133230525
"39","Cyclospora","02Outpatient","24-59mo",0.00691501456057029,0.01245600225028,-80.1298050954895,1.92441882684033,0.715514977682975,5.1758354983568,0.0113834871080038
"40","Cyclospora","03Inpatient","24-59mo",0.00965204108909001,0.0260024236212784,-169.398186158467,2.89354068921225,0.979651702686719,8.54648411998354,0.0469261603461883
"41","EAEC","01CommunityDetected","0-11mo",0.448277124735571,0.347325362826712,22.5199449934923,0.992937472089676,0.867327907641017,1.13673826795379,0
"42","EAEC","02Outpatient","0-11mo",0.368071311755906,0.328844716651465,10.6573356443642,0.77408965643068,0.682523234941759,0.87794050885916,0
"43","EAEC","03Inpatient","0-11mo",0.412336642466657,0.356357995562751,13.575957394675,0.971439071405502,0.793760978341966,1.18888921879783,0
"44","EAEC","01CommunityDetected","12-23mo",0.423112011311203,0.294248585212101,30.4561020850626,0.988162460632332,0.813032550910398,1.20101593412163,0
"45","EAEC","02Outpatient","12-23mo",0.368940082202869,0.277391793773452,24.813863509435,0.879487817041317,0.745498159152846,1.03755966507426,0
"46","EAEC","03Inpatient","12-23mo",0.376039789523807,0.302540726853255,19.5455546775055,1.07298329706446,0.846113330349319,1.36068433681811,0.021603407437942
"47","EAEC","02Outpatient","24-59mo",0.299953293517254,0.212145017864443,29.2739828335173,0.875616298585262,0.765293701477259,1.00184269237833,0
"48","EAEC","03Inpatient","24-59mo",0.288098026142398,0.233288282280693,19.0246856584206,0.725618415146057,0.57546540075288,0.914950027769225,0
"49","EPAP","01CommunityDetected","0-11mo",0.161069795158424,0.0601584973032928,62.6506650460923,0.817838207125859,0.735398526552586,0.909519544688686,0
"50","EPAP","02Outpatient","0-11mo",0.141269687896737,0.0537603615231466,61.944871314189,0.699993180952217,0.597965082022179,0.819429876611806,0
"51","EPAP","03Inpatient","0-11mo",0.101424126467582,0.0648872551037276,36.0238462349811,0.811816272915338,0.653631641618562,1.00828298235101,0
"52","EPAP","01CommunityDetected","12-23mo",0.250782331395608,0.0777638715016094,68.9914871319474,0.863792362615498,0.787975913046055,0.946903621493381,0
"53","EPAP","02Outpatient","12-23mo",0.155575571491655,0.069632047847495,55.2422998161828,0.628126391770071,0.542180380649799,0.727696497547979,0
"54","EPAP","03Inpatient","12-23mo",0.145183517768218,0.0837531770678087,42.3122002033875,0.718318155628959,0.57473161902708,0.897777250501119,0
"55","EPAP","02Outpatient","24-59mo",0.137088189932582,0.0688416735734656,49.7829290711905,0.759742312965984,0.650241411781968,0.887683207578368,0
"56","EPAP","03Inpatient","24-59mo",0.128284880383912,0.0828167855187881,35.4430660332331,0.790573784932386,0.60965164594987,1.02518694663495,0
"57","EPTP","01CommunityDetected","0-11mo",0.124131668285985,0.121853154893918,1.83556172532636,1.33846752812916,1.10957470948669,1.61457836821548,0.0396096999620734
"58","EPTP","02Outpatient","0-11mo",0.178299552906429,0.10491448902915,41.15829943544,1.11078228018871,0.949207082878033,1.29986100634668,0.0114891319722688
"59","EPTP","03Inpatient","0-11mo",0.258744127732443,0.125930644233468,51.3300474344723,1.46494347015387,1.15287600254643,1.86148325232403,0.0553120739140453
"60","EPTP","01CommunityDetected","12-23mo",0.134402652319842,0.113551231462012,15.5141438788047,1.23896706011516,0.985500428714078,1.55762426004562,0.026418147420204
"61","EPTP","02Outpatient","12-23mo",0.17329657587015,0.0976382923144645,43.6582680158526,1.04857391472438,0.871568957502914,1.26152640611541,0.00472028730046419
"62","EPTP","03Inpatient","12-23mo",0.178295704779116,0.117388054871479,34.1610303978402,1.04683853091021,0.788651431839581,1.38955039648132,0.00546821821964191
"63","EPTP","02Outpatient","24-59mo",0.130526620571292,0.0709943153388106,45.6093208970851,0.920391259029663,0.782828868521291,1.08212676328398,0
"64","EPTP","03Inpatient","24-59mo",0.100111260776471,0.0858675221608247,14.2279085341361,1.05044197083735,0.763118950320186,1.44594539767842,0.00431264756167643
"65","ETLT","01CommunityDetected","0-11mo",0.199922554145104,0.110365749105003,44.7957487453369,1.25198617971029,1.01063923268434,1.55096828175,0.0270581392244194
"66","ETLT","02Outpatient","0-11mo",0.120876167065562,0.0944838350335227,21.8341900415527,1.00651655693767,0.835408862319697,1.21267037624742,0.000615330426025032
"67","ETLT","03Inpatient","0-11mo",0.193841382430464,0.0902824096374895,53.424594632224,1.035094303654,0.793814534864304,1.34971100981428,0.00315839125694824
"68","ETLT","01CommunityDetected","12-23mo",0.28079866459573,0.151758529649579,45.9546825594529,1.29469909924349,1.07913219287559,1.55332754286125,0.0428085699503038
"69","ETLT","02Outpatient","12-23mo",0.156525960644206,0.130795829090001,16.4382518071184,1.06418764945414,0.905612683574362,1.25052947445577,0.0083255796169412
"70","ETLT","03Inpatient","12-23mo",0.157845552291614,0.125202971701915,20.6800762617582,0.94927980356037,0.743634104319102,1.21179507531156,0
"71","ETLT","02Outpatient","24-59mo",0.150387594305967,0.115397771229717,23.2664291477805,1.04162126008468,0.861079263716413,1.26001739349482,0.00478004210421303
"72","ETLT","03Inpatient","24-59mo",0.145504480175112,0.110379725157612,24.1399817897203,1.10643953048992,0.820551524032032,1.49193365532396,0.0116123355073833
